region,mape,mae,rmse
AK,0.41089618641186115,6.515354745871407,15.013485287678037
AL,1.225254722125904,72.35713704427083,187.68202134022096
AR,2.4217823653211497,64.86733095238102,342.292522491225
AZ,1.5120528511713436,99.79865993923612,279.4677165407281
CA,1.1519620824813441,245.8017795138889,1589.9878918331087
CO,2.4733634837633742,98.91952446565762,298.48603053847495
CT,2.285286790519831,157.00267248677244,1019.6902588667298
DC,0.2798685654917336,7.5239924112955725,21.215237511067137
DE,2.5333615979238573,31.764558919270833,161.97164763077157
FL,2.294356692402795,268.62556560846616,1592.6030631389708
GA,0.5357642233947072,105.49186197916667,208.17313826786105
GU,0.3062031141214934,0.7961363636363618,1.9185571046065744
HI,0.9547560897095053,8.791499999999981,32.41296692516708
IA,2.7830524018692597,79.26593695746527,312.52733677790974
ID,1.236175708787471,29.639120987654334,92.84043332860512
IL,2.372343124264154,127.32635633680556,596.6253608204738
IN,2.5590733755994655,110.45203985890686,428.219031876885
KS,2.5797190635889646,41.522021484375,115.93547332546893
KY,1.1745385252580491,52.70376790364583,133.30725233732954
LA,2.60523804772393,148.94389105902778,619.2324932594357
MA,0.517365159360435,77.86672748633819,228.67813467525625
MD,2.0936077100949047,99.34767116970487,505.75516786900533
ME,2.4029527868786733,10.346150088183403,39.24000378305463
MI,1.6059901190179937,59.20374891493056,217.78177740995326
MN,1.4405332852561823,11.063460474922543,21.253624807629638
MO,2.601751577843189,101.47981542408205,391.1401668933834
MS,1.7228949654108163,26.361691623263887,128.97784540162223
MT,0.9258651407234244,30.46574435763889,93.51171793177646
NC,1.9778114860778448,210.52321764346763,691.435033069077
ND,1.8265591268960786,26.9824703640408,67.31932107122628
NE,1.2399009757159212,48.454671231237825,114.59255134432112
NH,1.3638518189447257,9.089622667100695,38.78217129691966
NJ,2.848270653496378,221.19295583357524,749.3241035052987
NM,0.7594026870819358,20.739204581837942,49.54508999860876
NV,1.5996584186045961,64.3112799750434,360.8915817099226
NY,2.5289915361678896,251.53049045138889,961.8452063190518
OH,2.312749999599707,99.32778862847222,265.02046540311267
OK,0.5367486889485582,29.753995767195754,65.11259914136967
OR,1.1070150237044785,48.62128363715278,149.04876536973126
PA,2.5117656092176475,173.01768663194446,659.0202078231302
PR,3.0791441293442348,96.03875189887152,330.105410448281
RI,2.1557084375132822,19.192359754774305,62.758619670940234
SC,2.3496276606461772,37.93121202256945,173.16637240034296
SD,2.6828883342410688,13.656260850694444,39.88886335966721
TN,1.059284297576439,94.98160807291667,249.19698862373585
TX,0.3670047041993207,90.99460052910057,209.71079836771457
USA,0.0,0.0,0.0
UT,2.29931368136072,49.155544704861114,302.32617562150244
VA,0.3465223092651632,46.443706597222224,130.03471588736863
VT,2.1588091366131934,7.681916724310981,28.034461190864647
WA,0.38280022634070127,41.08296155202839,103.40012019692679
WI,0.36252946355216675,32.47463107638889,79.78127697943646
WV,0.31392830725420595,17.018424479166665,36.07195029899843
WY,1.6063028501493883,37.10900065104167,177.60445554376045
